failure_mode,model,mode,n,acc@0.5
stylized logo,Qwen3.5-0.8B,direct,8,100.0
horizontal text,Qwen3.5-0.8B,direct,8,100.0
degraded image,Qwen3.5-0.8B,direct,12,75.0
handwritten text,Qwen3.5-0.8B,direct,23,60.9
vertical text,Qwen3.5-0.8B,direct,3,100.0
faded text,Qwen3.5-0.8B,direct,3,66.7
dense text,Qwen3.5-0.8B,direct,9,33.3
striked out text,Qwen3.5-0.8B,direct,3,66.7
degraded image quality,Qwen3.5-0.8B,direct,15,80.0
degarded image quality,Qwen3.5-0.8B,direct,3,33.3
faint print,Qwen3.5-0.8B,direct,3,33.3
scanned document,Qwen3.5-0.8B,direct,11,63.6
degraded text quality,Qwen3.5-0.8B,direct,11,63.6
upside down image,Qwen3.5-0.8B,direct,3,0.0
skewed,Qwen3.5-0.8B,direct,3,0.0
unclear text,Qwen3.5-0.8B,direct,3,66.7
fine print,Qwen3.5-0.8B,direct,6,16.7
stylized logo,Qwen3.5-0.8B,cot,8,100.0
horizontal text,Qwen3.5-0.8B,cot,8,100.0
degraded image,Qwen3.5-0.8B,cot,12,58.3
handwritten text,Qwen3.5-0.8B,cot,23,52.2
vertical text,Qwen3.5-0.8B,cot,3,66.7
faded text,Qwen3.5-0.8B,cot,3,66.7
dense text,Qwen3.5-0.8B,cot,9,11.1
striked out text,Qwen3.5-0.8B,cot,3,33.3
degraded image quality,Qwen3.5-0.8B,cot,15,66.7
degarded image quality,Qwen3.5-0.8B,cot,3,33.3
faint print,Qwen3.5-0.8B,cot,3,33.3
scanned document,Qwen3.5-0.8B,cot,11,45.5
degraded text quality,Qwen3.5-0.8B,cot,11,45.5
upside down image,Qwen3.5-0.8B,cot,3,33.3
skewed,Qwen3.5-0.8B,cot,3,33.3
unclear text,Qwen3.5-0.8B,cot,3,66.7
fine print,Qwen3.5-0.8B,cot,6,0.0
stylized logo,InternVL3-1B,direct,8,100.0
horizontal text,InternVL3-1B,direct,8,100.0
degraded image,InternVL3-1B,direct,12,75.0
handwritten text,InternVL3-1B,direct,23,60.9
vertical text,InternVL3-1B,direct,3,100.0
faded text,InternVL3-1B,direct,3,33.3
dense text,InternVL3-1B,direct,9,22.2
striked out text,InternVL3-1B,direct,3,66.7
degraded image quality,InternVL3-1B,direct,15,86.7
degarded image quality,InternVL3-1B,direct,3,33.3
faint print,InternVL3-1B,direct,3,66.7
scanned document,InternVL3-1B,direct,11,63.6
degraded text quality,InternVL3-1B,direct,11,63.6
upside down image,InternVL3-1B,direct,3,0.0
skewed,InternVL3-1B,direct,3,0.0
unclear text,InternVL3-1B,direct,3,66.7
fine print,InternVL3-1B,direct,6,0.0
stylized logo,InternVL3-1B,cot,8,50.0
horizontal text,InternVL3-1B,cot,8,50.0
degraded image,InternVL3-1B,cot,12,66.7
handwritten text,InternVL3-1B,cot,23,39.1
vertical text,InternVL3-1B,cot,3,66.7
faded text,InternVL3-1B,cot,3,33.3
dense text,InternVL3-1B,cot,9,11.1
striked out text,InternVL3-1B,cot,3,0.0
degraded image quality,InternVL3-1B,cot,15,40.0
degarded image quality,InternVL3-1B,cot,3,33.3
faint print,InternVL3-1B,cot,3,66.7
scanned document,InternVL3-1B,cot,11,45.5
degraded text quality,InternVL3-1B,cot,11,45.5
upside down image,InternVL3-1B,cot,3,0.0
skewed,InternVL3-1B,cot,3,0.0
unclear text,InternVL3-1B,cot,3,66.7
fine print,InternVL3-1B,cot,6,16.7
stylized logo,SmolVLM-500M,direct,8,50.0
horizontal text,SmolVLM-500M,direct,8,50.0
degraded image,SmolVLM-500M,direct,12,58.3
handwritten text,SmolVLM-500M,direct,23,65.2
vertical text,SmolVLM-500M,direct,3,66.7
faded text,SmolVLM-500M,direct,3,66.7
dense text,SmolVLM-500M,direct,9,33.3
striked out text,SmolVLM-500M,direct,3,66.7
degraded image quality,SmolVLM-500M,direct,15,66.7
degarded image quality,SmolVLM-500M,direct,3,33.3
faint print,SmolVLM-500M,direct,3,100.0
scanned document,SmolVLM-500M,direct,11,45.5
degraded text quality,SmolVLM-500M,direct,11,45.5
upside down image,SmolVLM-500M,direct,3,0.0
skewed,SmolVLM-500M,direct,3,0.0
unclear text,SmolVLM-500M,direct,3,33.3
fine print,SmolVLM-500M,direct,6,16.7
stylized logo,SmolVLM-500M,cot,8,50.0
horizontal text,SmolVLM-500M,cot,8,50.0
degraded image,SmolVLM-500M,cot,12,58.3
handwritten text,SmolVLM-500M,cot,23,65.2
vertical text,SmolVLM-500M,cot,3,66.7
faded text,SmolVLM-500M,cot,3,66.7
dense text,SmolVLM-500M,cot,9,33.3
striked out text,SmolVLM-500M,cot,3,66.7
degraded image quality,SmolVLM-500M,cot,15,80.0
degarded image quality,SmolVLM-500M,cot,3,33.3
faint print,SmolVLM-500M,cot,3,66.7
scanned document,SmolVLM-500M,cot,11,63.6
degraded text quality,SmolVLM-500M,cot,11,63.6
upside down image,SmolVLM-500M,cot,3,0.0
skewed,SmolVLM-500M,cot,3,0.0
unclear text,SmolVLM-500M,cot,3,33.3
fine print,SmolVLM-500M,cot,6,16.7
stylized logo,Donut-DocVQA,direct,8,62.5
horizontal text,Donut-DocVQA,direct,8,62.5
degraded image,Donut-DocVQA,direct,12,50.0
handwritten text,Donut-DocVQA,direct,23,52.2
vertical text,Donut-DocVQA,direct,3,0.0
faded text,Donut-DocVQA,direct,3,33.3
dense text,Donut-DocVQA,direct,9,33.3
striked out text,Donut-DocVQA,direct,3,66.7
degraded image quality,Donut-DocVQA,direct,15,66.7
degarded image quality,Donut-DocVQA,direct,3,33.3
faint print,Donut-DocVQA,direct,3,33.3
scanned document,Donut-DocVQA,direct,11,45.5
degraded text quality,Donut-DocVQA,direct,11,45.5
upside down image,Donut-DocVQA,direct,3,0.0
skewed,Donut-DocVQA,direct,3,0.0
unclear text,Donut-DocVQA,direct,3,66.7
fine print,Donut-DocVQA,direct,6,16.7
